id;start_date;end_date;language
1;2022-03-11T07:15:52;2022-03-11T05:06:07;ENGLISH
2;2022-03-10T16:43:27;2022-03-11T02:08:56;FRENCH
3;2022-03-11T02:39:39;2022-03-10T14:44:47;SPANISH
4;2022-03-11T07:10:28;2022-03-10T12:36:47;FRENCH
5;2022-03-11T09:26:51;2022-03-10T17:45:49;ENGLISH
6;2022-03-10T18:57:34;2022-03-11T08:57:54;SPANISH
7;2022-03-11T03:01:22;2022-03-10T13:35:31;FRENCH
8;2022-03-10T17:27:15;2022-03-10T14:03:04;FRENCH
9;2022-03-10T18:18:53;2022-03-11T05:50:19;FRENCH
10;2022-03-10T14:15:51;2022-03-11T07:13:20;FRENCH
